#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2025-05-30-15-39-33
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1499169223.076809	Cw8x663p2bi718hpac	fe80::266e:96ff:fe4a:377a	8612	ff02::1	8612	bad_UDP_checksum	-	F	zeek	UDP
1499169250.140448	Cmxzt5sDG5quEXjCj	192.168.10.5	49183	192.168.10.3	88	bad_TCP_checksum	-	F	zeek	TCP
1499169250.762607	CxtEDKwi4XgQ1Kj82	192.168.10.5	49190	192.168.10.3	49671	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1499169381.716897	CwBtrC2bIyhFvGvSj7	192.168.10.50	52556	192.168.10.3	3268	bad_TCP_checksum	-	F	zeek	TCP
1499169408.665135	C2GkAC2OSw7PaR4Hha	192.168.10.15	56919	134.170.104.154	443	bad_TCP_checksum	-	F	zeek	TCP
1499169429.814862	CIsItC410OwOHIjjAb	192.168.10.9	1029	192.168.10.3	49671	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1499169429.849945	CRHtQx2V7z2xTKtO82	192.168.10.9	1032	192.168.10.3	88	bad_TCP_checksum	-	F	zeek	TCP
1499169433.301945	Cy6lya2dNHtoAMdW5	192.168.10.8	49159	192.168.10.3	49671	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1499169433.345386	CAu3B91ft5gxXyrWdd	192.168.10.8	49161	192.168.10.3	88	bad_TCP_checksum	-	F	zeek	TCP
1499169433.391610	Cst8134GvL3eNMVKX3	192.168.10.8	49158	192.168.10.3	49666	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1499169437.319502	Cqft3e42kYwtYLg6Ii	192.168.10.9	49721	192.168.10.3	53	DNS_unknown_opcode	5	F	zeek	DNS
1499169437.321516	CPai2b2eVcVhM9NfOg	192.168.10.9	58776	192.168.10.3	53	DNS_unknown_opcode	5	F	zeek	DNS
1499169439.238196	CN5FYo7R007PglxFi	192.168.10.14	49415	192.168.10.3	88	bad_TCP_checksum	-	F	zeek	TCP
1499169439.352312	CNX8am3THQWxvrbLt4	192.168.10.14	49422	192.168.10.3	49671	netlogon_dce_rpc_auth_type	68	F	zeek	DCE_RPC
1499169439.865236	CG0DGX2uvpUv3W8Td3	192.168.10.17	54498	192.168.10.3	389	bad_TCP_checksum	-	F	zeek	TCP
1499169440.048822	C3JaSb3Mjs2vVw6P82	192.168.10.8	61972	192.168.10.3	53	DNS_unknown_opcode	5	F	zeek	DNS
1499169440.050500	COut693fWnHNF6efvi	192.168.10.8	51137	192.168.10.3	53	DNS_unknown_opcode	5	F	zeek	DNS
1499169442.173136	COu2gd2SnNgR3O8oF6	192.168.10.19	51924	192.168.10.3	389	bad_TCP_checksum	-	F	zeek	TCP
1499169444.203139	Cfp3Un4X84sMQlJD2a	192.168.10.14	65189	192.168.10.3	53	DNS_unknown_opcode	5	F	zeek	DNS
